id,question_id,content,score
137,23,תוקפנות חמורה: התפרצויות/ נשיכות או ניסיון לנשוך,4
138,23,לא קרה/לא רלוונטי,null
139,24,ללא תוקפנות: אין סימני אגרסיביות כלל,0
140,24,,1
141,24,סימני תוקפנות: נביחות/נהימות/חשיפת שיניים,2
142,24,,3
143,24,תוקפנות חמורה: התפרצויות/ נשיכות או ניסיון לנשוך,4
144,24,לא קרה/לא רלוונטי,null
145,25,ללא תוקפנות: אין סימני אגרסיביות כלל,0
146,25,,1
147,25,סימני תוקפנות: נביחות/נהימות/חשיפת שיניים,2
148,25,,3
149,25,תוקפנות חמורה: התפרצויות/ נשיכות או ניסיון לנשוך,4
150,25,לא קרה/לא רלוונטי,null
151,26,ללא תוקפנות: אין סימני אגרסיביות כלל,0
152,26,,1
153,26,סימני תוקפנות: נביחות/נהימות/חשיפת שיניים,2
154,26,,3
155,26,תוקפנות חמורה: התפרצויות/ נשיכות או ניסיון לנשוך,4
156,26,לא קרה/לא רלוונטי,null
157,27,ללא תוקפנות: אין סימני אגרסיביות כלל,0
158,27,,1
159,27,סימני תוקפנות: נביחות/נהימות/חשיפת שיניים,2
160,27,,3
161,27,תוקפנות חמורה: התפרצויות/ נשיכות או ניסיון לנשוך,4
162,27,לא קרה/לא רלוונטי,null
163,28,ללא תוקפנות: אין סימני אגרסיביות כלל,0
164,28,,1
165,28,סימני תוקפנות: נביחות/נהימות/חשיפת שיניים,2
166,28,,3
167,28,תוקפנות חמורה: התפרצויות/ נשיכות או ניסיון לנשוך,4
168,28,לא קרה/לא רלוונטי,null
169,29,ללא תוקפנות: אין סימני אגרסיביות כלל,0
170,29,,1
171,29,סימני תוקפנות: נביחות/נהימות/חשיפת שיניים,2
172,29,,3
173,29,תוקפנות חמורה: התפרצויות/ נשיכות או ניסיון לנשוך,4
174,29,לא קרה/לא רלוונטי,null
175,30,ללא תוקפנות: אין סימני אגרסיביות כלל,0
176,30,,1
177,30,סימני תוקפנות: נביחות/נהימות/חשיפת שיניים,2
178,30,,3
179,30,תוקפנות חמורה: התפרצויות/ נשיכות או ניסיון לנשוך,4
180,30,לא קרה/לא רלוונטי,null
181,31,ללא תוקפנות: אין סימני אגרסיביות כלל,0
182,31,,1
183,31,סימני תוקפנות: נביחות/נהימות/חשיפת שיניים,2
184,31,,3
185,31,תוקפנות חמורה: התפרצויות/ נשיכות או ניסיון לנשוך,4
186,31,לא קרה/לא רלוונטי,null
187,32,ללא תוקפנות: אין סימני אגרסיביות כלל,0
188,32,,1
189,32,סימני תוקפנות: נביחות/נהימות/חשיפת שיניים,2
190,32,,3
191,32,תוקפנות חמורה: התפרצויות/ נשיכות או ניסיון לנשוך,4
192,32,לא קרה/לא רלוונטי,null
193,33,ללא תוקפנות: אין סימני אגרסיביות כלל,0
194,33,,1
195,33,סימני תוקפנות: נביחות/נהימות/חשיפת שיניים,2
196,33,,3
197,33,תוקפנות חמורה: התפרצויות/ נשיכות או ניסיון לנשוך,4
198,33,לא קרה/לא רלוונטי,null
199,34,ללא תוקפנות: אין סימני אגרסיביות כלל,0
200,34,,1
201,34,סימני תוקפנות: נביחות/נהימות/חשיפת שיניים,2
202,34,,3
203,34,תוקפנות חמורה: התפרצויות/ נשיכות או ניסיון לנשוך,4
204,34,לא קרה/לא רלוונטי,null
205,35,ללא תוקפנות: אין סימני אגרסיביות כלל,0
206,35,,1
207,35,סימני תוקפנות: נביחות/נהימות/חשיפת שיניים,2
208,35,,3
209,35,תוקפנות חמורה: התפרצויות/ נשיכות או ניסיון לנשוך,4
210,35,לא קרה/לא רלוונטי,null
